name,중량,칼로리,탄수화물,당류,지방,단백질,나트륨,source,basis
돌솥밥,350,528.855,101.85,0,8.347000000000001,10.187,618.3149999999999,base,1인분
현미밥,230,351.35,77.8771,0,1.1021,6.6575999999999995,42.079,base,1인분
흑미밥,200,318,70.28999999999999,0,0.39,5.4399999999999995,4.5,base,1인분
감자밥,200,308,68.64,0,0.08,5.68,5.2,base,1인분
곤드레밥,350,506.8,108.05199999999999,0,8.372,14.14,88.753,base,1인분
주먹밥,150,209.56,36.18000000000001,0,3.463,6.703,329.69,base,1인분
볶음밥,400,687.744,100.328,0,19.29,24.458,1441.42,base,1인분
일반비빔밥,500,702.996,95.68336363600001,3.44,25.283909091,22.595090909,1234.0880000000002,base,1인분
전주비빔밥,450,662.192,92.98948756,3.44,13.033502488,15.843492536999998,1281.3020000000001,base,1인분
삼선볶음밥,400,683.617,113.42848756000001,5.093999999999999,16.842502488,19.258492537,1155.8060000000003,base,1인분
새우볶음밥,400,634.52,91.62000000000002,0,17.905,24.114999999999995,1124.628,base,1인분
알밥,400,606.54,92.10000000000001,0,3.45,15.16,1647.8660000000002,base,1인분
산채비빔밥,400,495.89000000000004,89.6601645,0.52,10.9935671,10.663298700999999,1060.7779999999998,base,1인분
오므라이스,450,684.986,101.62116449999999,0,19.751567100000003,23.145298700999998,1123.236,base,1인분
육회비빔밥,450,661.41,91.74216450000004,2.58,17.5395671,32.001298701,1126.6,base,1인분
해물볶음밥,400,659.23,85.19216449999999,0,23.709567099999997,22.681298700999996,951.0300000000001,base,1인분
열무비빔밥,400,445.65999999999997,90.0321645,1.72,3.1595671,12.991298701,718.39,base,1인분
불고기덮밥,500,699.96,92.0921645,5.99,21.3995671,29.311298701,1182.8799999999999,base,1인분
소고기국밥,700,331.71,54.93,0,4.74,16.04,1613.2100000000003,base,1인분
송이덮밥,600,600.42,103.57,0,14.45,16.28,1578.85,base,1인분
오징어덮밥,500,693.9799999999998,83.42800000000001,2.6879999999999997,20.92,40.589999999999996,1497.37,base,1인분
자장밥,500,729.6170000000001,98.078,4,24.949999999999996,25.758,1521.8500000000001,base,1인분
잡채밥,650,851.54,125.70000000000002,4,28.610000000000003,21.139999999999997,2251.34,base,1인분
잡탕밥,750,737.23,100.55000000000001,0,22.479999999999997,29.02,1922.1350000000004,base,1인분
장어덮밥,400,671.7199999999999,103.036424242,0,19.236181818,26.135818182,893.22,base,1인분
제육덮밥,500,796.94,95.8,5.4,27.52,37.8,1375.6899999999998,base,1인분
짬뽕밥,900,696.6878378,93.41573338,0,22.41699592,41.79552295,2869.53538288,base,1인분
카레라이스,500,653.24,92.576,0,10.667,13.398,1108.55,base,1인분
전주콩나물국밥,900,432.38,88.732,0,3.525,12.496,1753.2550000000003,base,1인분
해물덮밥,700,837.976,100.112,0,29,51.768,2117.832,base,1인분
회덮밥,500,697.996,101.753,18.405,11.397,42.992,777.6299999999999,base,1인분
소머리국밥,1100,891.4300000000002,77.05799999999999,0,40.76200000000001,48.943,970.8949999999999,base,1인분
돼지국밥,1200,811.4399999999999,78.28399999999999,3.3,36.452999999999996,56.754999999999995,1257.67,base,1인분
하이라이스,360,477.6,84.591,0,9.669,7.92,991.68,base,1인분
김치김밥,250,377.26200000000006,71.80399999999999,0,4.619999999999999,11.449,967.7899999999998,base,1인분
농어초밥,250,414.78000000000003,74.14399999999999,6.9719999999999995,2.367,19.925,1385.4599999999998,base,1인분
문어초밥,250,377.97,71.835,4.98,1.0300000000000002,16.904,1420.922,base,1인분
새우초밥,250,395.54,69.54299999999999,2.988,1.206,22.737,1396.751,base,1인분
새우튀김롤,300,572.016,81.496,3.996,18.896,21.112000000000002,1512.5009999999997,base,1인분
샐러드김밥,250,422.434,75.84150000000001,0,7.508,12.764000000000001,906.6774999999999,base,1인분
광어초밥,300,471.6640000000001,72.526,5.229,3.206,33.741499999999995,951.2755,base,1인분
소고기김밥,250,425.6660000000001,76.07049999999998,0,6.636000000000001,14.671000000000001,1477.9844999999998,base,1인분
갈비삼각김밥,100,183.18,32.745999999999995,0,2.5949999999999998,6.861000000000001,398.119,base,1인분
연어롤,300,518.58,76.107,0,14.719000000000001,20.723,1243.818,base,1인분
연어초밥,250,451.029,70.868,3.964,5.763,24.939999999999998,995.03,base,1인분
유부초밥,250,463.21,78.47399999999999,6.765,11.231999999999998,12.366000000000001,929.0659999999998,base,1인분
장어초밥,400,486.34837000000005,74.84050999999998,2.0595,12.734900000000001,16.325039999999998,1291.8050500000002,base,1인분
참치김밥,250,401.224,47.553,0,14.586999999999998,19.825,925.7310000000001,base,1인분
참치마요삼각김밥,100,189.582,31.933999999999997,0,2.889,8.11,189.10000000000002,base,1인분
치즈김밥,250,462.2269,77.125,0,8.843,17.1226,919.9703,base,1인분
캘리포니아롤,300,468.16,81.22,0,9.73,12.8,1351.96,base,1인분
한치초밥,250,389.96,77.31,1.74,1.2,13.54,1153.49,base,1인분
일반김밥,200,348.87,63.636,0,5.424,10.276,951.3200000000002,base,1인분
간자장,650,807.7367999999999,121.74799999999998,6.7932,26.380599999999998,29.283200000000004,2347.7712,base,1인분
굴짬뽕,900,640.774,115.816,1.998,7.759,37.39,2385.3450000000003,base,1인분
기스면,1000,645.6099999999999,98.30199999999999,0,11.004000000000001,43.516999999999996,2279.5240000000003,base,1인분
김치라면,650,512.2552499999999,80.56555,2.27305,20.338500000000003,12.970749999999999,2628.288,base,1인분
김치우동,800,512.712,99.064,0,4.736,16.744,3003.048,base,1인분
김치말이국수,600,310.37699999999995,60.75599999999999,2.997,2.469,10.418000000000003,2335.4480000000003,base,1인분
닭칼국수,900,643.097,70.238,0,19.587000000000007,39.85900000000001,2492.774,base,1인분
들깨칼국수,600,442.32199999999995,76.674,2.398,6.778,17.477,1695.7730000000001,base,1인분
떡라면,700,672.1799999999998,121.08300000000001,0,17.579000000000004,15.451,2214.3559999999998,base,1인분
라면,550,509.32800000000003,83.16800000000002,0,17.748,14.077000000000002,1695.5009999999997,base,1인분
막국수,550,566.886,111.30199999999998,11.022,5.0874999999999995,26.9485,1828.021,base,1인분
메밀국수,600,588.6750000000001,120.08700000000003,10.162,4.526999999999999,25.259000000000004,1962.4579999999996,base,1인분
물냉면,800,579.71,96.40300000000002,1.199,9.779,28.784,2586.1597,base,1인분
비빔국수,550,577.17,114.475,11.014999999999999,9.549999999999999,16.705000000000002,1628.3000000000002,base,1인분
비빔냉면,550,594.3100000000001,91.49200000000002,1.999,9.127999999999998,23.699,1530.5699999999997,base,1인분
삼선우동,1000,692.2599999999999,89.195,1.999,10.527999999999999,56.1725,2351.4322,base,1인분
삼선자장면,700,787.844,111.57,1.999,24.682,38.326,2791.1097,base,1인분
삼선짬뽕,900,629.1000000000001,89.31099999999999,2.997,13.452,39.17,2825.6600000000003,base,1인분
수제비,800,622.148,99.21699999999998,0,6.5409999999999995,38.529,1669.3157,base,1인분
쌀국수,600,321.33500000000004,46.19799999999999,2.198,5.814,21.848000000000003,2032.165,base,1인분
열무김치국수,800,488.32399999999996,81.61199999999998,0,8.223,21.935999999999996,2587.704,base,1인분
오일소스스파게티,400,626.5849999999999,99.24400000000001,0,16.585,14.675,968.6960000000001,base,1인분
일식우동,700,420.79300000000006,81.226,0.5,1.739,16.935,1873.5439999999994,base,1인분
볶음우동,300,377.92,62.259,0.9084,10.809999999999999,9.584999999999997,1461.3100000000002,base,1인분
자장면,650,760.88275,134.2891,7.992,23.1648,15.739625,2446.9963749999997,base,1인분
잔치국수,700,564.2339999999999,104.66499999999999,0.44,6.226000000000001,20.262,1792.2259999999999,base,1인분
짬뽕,1000,650.3059999999999,118.54399999999998,0,13.524999999999999,25.525,3451.3679999999995,base,1인분
짬뽕라면,750,633.34,88.792,0,24.628,31.408000000000005,2380.926,base,1인분
쫄면,450,622.4189999999999,110.852,22.13,6.932,12.358,1271.545,base,1인분
치즈라면,600,598.674,83.534,0,23.282,23.346999999999998,2425.9700000000003,base,1인분
콩국수,800,623.5,67.116,0.999,20.433000000000003,47.802,875.8390999999999,base,1인분
크림소스스파게티,400,825.0615000000001,85.87595000000002,0,45.39685000000001,19.442750000000004,1025.2077000000002,base,1인분
토마토소스스파게티,500,642.1776000000001,102.07200000000002,0,17.3664,20.222399999999997,1404.8111999999999,base,1인분
해물칼국수,900,621.1973999999999,124.20989999999999,0,4.0107,24.873299999999997,2195.0534999999995,base,1인분
회냉면,550,638.902,131.8955,22.728749999999998,8.777999999999999,20.218000000000004,1524.2755,base,1인분
떡국,800,714.9869,144.02990000000003,0,5.386700000000001,21.862199999999998,2019.2821000000001,base,1인분
떡만둣국,700,625.347,113.9604,0,9.3978,22.721700000000002,1999.1163000000001,base,1인분
짜장라면,250,409.375,63.77499999999999,0,14.850000000000001,12.0125,1276.375,base,1인분
고기만두,250,454.38500000000005,55.325,0,18.244999999999997,18.6575,888.8000000000002,base,1인분
군만두,250,684.4199999999998,76.17,0,31.174999999999997,19.772499999999997,983.7025000000001,base,1인분
김치만두,250,424.64240000000007,60.7932,0,13.096200000000001,18.4314,961.9740000000002,base,1인분
물만두,120,158.05255,20.484949999999998,0,5.842,5.8580999999999985,269.51974999999993,base,1인분
만둣국,700,432.621,53.276999999999994,0,14.924000000000001,19.243000000000002,2356.6689999999994,base,1인분
게살죽,800,554.2379999999999,103.5906,0,7.6259999999999994,18.146600000000003,1533.9576,base,1인분
깨죽,800,505.67750000000007,71.13100000000001,0,18.940600000000003,13.429400000000001,1212.2731000000003,base,1인분
닭죽,1000,1181.71,92.53000000000003,0,48.17999999999999,75.93,789.79,base,1인분
소고기버섯죽,800,573.2374,102.9346,0,6.461599999999999,20.524599999999996,1263.6199999999997,base,1인분
어죽,800,559.2741,90.46730000000001,0,6.0753,15.530899999999999,1621.2897000000003,base,1인분
잣죽,700,872.6080000000001,153.7851,0,20.2943,15.791900000000002,850.6253,base,1인분
전복죽,800,587.2914000000001,105.0365,0,11.454,14.574800000000002,1423.9314000000004,base,1인분
참치죽,800,658.4603999999999,105.9396,0,13.8528,26.083199999999998,1264.146,base,1인분
채소죽,800,514.8324,100.79520000000001,0,5.1294,11.8939,1211.6340000000002,base,1인분
팥죽,600,482.65200000000004,100.74000000000001,4.7940000000000005,0.564,20.592,1026.114,base,1인분
호박죽,600,430.326,111.40800000000002,25.776000000000003,0.72,8.112,911.7180000000001,base,1인분
콘스프,400,280.482,35.372,0,14.016,5.822,1319.462,base,1인분
토마토스프,400,382.4119999999999,12.418000000000001,0,25.402,18.200000000000003,1544.308,base,1인분
굴국,450,194.4225,11.443499999999998,0,8.649000000000003,22.8015,1775.9700000000003,base,1인분
김치국,450,85.9995,13.005,0,3.375,6.0345,1646.1495000000002,base,1인분
달걀국,450,193.04099999999997,5.350499999999999,0,11.110500000000002,16.1865,1263.9645,base,1인분
감자국,700,220.07299999999998,37.00899999999999,0,2.163,16.996,1734.152,base,1인분
미역국,500,50.16499999999999,4.694999999999999,0,4.35,2.7000000000000006,1527.55,base,1인분
바지락조개국,550,159.247,8.5085,0,1.8425,25.828,1650.847,base,1인분
소고기무국,400,125.22400000000002,8.136,0,4.715999999999999,13.512000000000002,1095.184,base,1인분
소고기미역국,650,154.9275,6.909500000000001,0,6.825000000000001,20.228,2006.8749999999998,base,1인분
순대국,800,550.6639999999999,22.816000000000006,0,32.93599999999999,41.224000000000004,1532.5919999999999,base,1인분
어묵국,600,252.09000000000006,37.164,0,4.2059999999999995,22.854,2022.7440000000001,base,1인분
오징어국,500,169.03499999999997,10.595,0,2.3549999999999995,27.740000000000006,1573.4199999999998,base,1인분
토란국,250,462.97,85.16,0,7.0725,23.8875,700.6700000000001,base,1인분
탕국,250,94.23750000000001,2.575,0,4.32,12.0775,663.0474999999999,base,1인분
홍합미역국,650,168.883,14.131,0,6.4285,19.987499999999997,2066.272,base,1인분
황태해장국,600,184.224,6.389999999999999,0,7.218000000000001,25.212,1526.8200000000002,base,1인분
근대된장국,450,109.2645,8.136,0,3.2129999999999996,15.309,1453.1940000000002,base,1인분
미소된장국,150,37.966499999999996,1.6949999999999998,0,1.7459999999999998,4.1385,511.98,base,1인분
배추된장국,700,121.53399999999998,11.039,0,3.6259999999999994,13.958,2321.4800000000005,base,1인분
뼈다귀해장국,1000,715.9799999999999,29.71,0,45.370000000000005,53.629999999999995,3093.6,base,1인분
선지(해장)국,1000,314.42,22.29,0,5.029999999999999,48.099999999999994,3053.19,base,1인분
콩나물국,400,22.529999999999998,1.2610000000000001,0,1.4220000000000002,1.8219999999999998,752.425,base,1인분
시금치된장국,400,121.448,9.896,0,3.3880000000000003,16.688,1381.248,base,1인분
시래기된장국,450,99.12149999999997,10.683000000000002,0,2.5425,10.017,1535.6295,base,1인분
