name,중량,칼로리,탄수화물,당류,지방,단백질,나트륨
귤,100,50,13,,0.2,0.7,
키위,100,60,15,,0.5,1.1,
망고,200,120,30,,0.8,1.6,
방울토마토,150,27,6,,0.3,1.3,
곤약밥,200,100,22,,0.3,2,
곤약젤리,150,15,6,,0,0,
두부면,100,70,3,,3,8,
닭가슴살볼,100,130,6,,3,20,
샐러드파스타,350,450,55,,18,14,
병아리콩,100,165,27,,2.6,9,
렌틸콩,100,115,20,,0.4,9,
퀴노아,100,120,21,,1.9,4.4,
아보카도토스트,150,320,30,,20,8,
수란,50,70,0.4,,5,6,
감태김밥,230,430,70,,10,10,
탕후루,100,150,38,,0.2,1,
두바이초콜릿,50,300,28,,20,5,
요아정,250,280,52,,5,7,
평양냉면,700,450,85,,5,18,
들기름막국수,400,550,80,,20,14,
제로콜라,355,0,0,,0,0,
컵밥,350,500,75,,15,15,
전주비빔삼각김밥,100,190,33,,4,5,
스팸마요삼각김밥,100,215,33,,7,5,
편의점도시락,450,650,90,,22,22,
불고기도시락,450,680,95,,22,24,
핫바,80,160,14,,9,7,
초코우유,200,160,26,,4,5,
컵누들,38,170,26,,6,4,
닭가슴살소시지,100,110,4,,3,16,
컵과일,150,70,17,,0.3,0.5,
구운계란,100,155,1.5,,11,13,
무가당요거트,150,80,9,,3,6,
곤약떡볶이,250,180,38,,2,5,
오이,100,15,3.6,,0.1,0.7,
닭안심,100,105,0,,1.5,23,
참치캔,100,120,0,,1.5,26,
계란흰자,66,34,0.5,,0.1,7,
코티지치즈,100,98,3.4,,4.3,11,
프로틴바,50,200,22,,6,20,
닭가슴살,100,110,0,,1.5,23,
그릭요거트,150,130,6,,5,15,
카라멜마키아토,355,250,37,,7,7,
돌체라떼,355,280,40,,9,7,
자몽허니블랙티,355,160,40,,0,0,
연유라떼,355,290,42,,9,7,
김치덮밥,400,600,95,,15,15,
김치알밥,400,550,90,,12,14,
골뱅이소면,350,450,65,,10,22,
북엇국,400,120,6,,4,14,
목살구이,200,460,0,,32,40,
la갈비,250,650,8,,48,42,
오뎅,200,150,16,,5,10,
떡꼬치,120,250,52,,4,4,
김자반,15,70,6,,4,3,
폭립,300,750,25,,52,45,
회,200,220,1,,5,42,
연어회,150,270,0,,17,30,
돈부리,450,700,100,,22,26,
규카츠,250,700,40,,42,35,
사케동,400,600,80,,18,30,
중국냉면,600,600,90,,16,24,
치킨너겟,120,300,18,,18,15,
어니언링,100,330,40,,17,4,
와인,150,125,4,,0,0.1,
레드와인,150,125,4,,0,0.1,
하이볼,350,180,14,,0,0,
사케,100,135,5,,0,0.5,
청하,300,270,11,,0,1,
부대전골,600,650,45,,35,32,
닭한마리,500,550,30,,18,55,
매운족발,250,520,12,,34,42,
부대볶음,400,600,40,,34,30,
옥수수콘,100,90,19,,1,3,
돈까스,200,530,42,3,28,27,900
계란말이,120,180,3,1,13,12,400
계란찜,200,110,2,1,7,10,500
아구찜,300,280,15,6,9,33,1200
초밥,200,350,65,8,4,15,700
치즈케이크,120,320,30,24,20,6,250
마카롱,40,180,26,24,8,3,30
카푸치노,200,110,9,9,5,6,80
아메리카노,350,15,3,0,0.5,1,10
핫도그,140,360,35,6,20,12,700
샐러드,200,100,9,5,6,3,250
설농탕,600,450,40,2,18,32,1500
수정과,200,130,33,30,0.1,0.2,5
콥샐러드,300,350,12,5,25,22,700
아이스티,355,90,22,22,0,0,10
스무디,350,180,40,35,2,3,40
콜드브루,355,5,1,0,0,0.5,10
레모네이드,355,150,38,36,0,0.2,15
자몽에이드,400,160,40,38,0.1,0.5,20
초코케이크,90,350,50,38,16,4,300
당근케이크,100,350,45,35,18,4,350
크로플,80,300,30,10,18,5,250
와플,100,290,40,12,12,7,400
티라미수,100,300,30,24,18,5,90
쿠키,30,140,20,12,6,1.5,100
에그타르트,60,200,22,12,11,3,120
마들렌,40,160,18,11,9,2.5,80
로제떡볶이,300,500,75,15,18,10,1400
팥빙수,400,350,70,50,7,8,120
꿀호떡,90,250,45,22,7,4,150
맥주,500,210,16,0,0,2,20
소주,360,360,0,0,0,0,2
막걸리,300,140,8,3,0,2,10
프라푸치노,470,400,60,55,14,5,250
즉석밥,210,310,69,0,0.7,6,10
젤리,50,160,38,30,0,3,30
프링글스,30,160,15,0.5,11,1.5,140
나시고랭,350,550,70,8,22,18,1200
수제버거,250,600,45,10,35,30,900
타코야키,150,320,35,5,16,10,600
오돌뼈,200,350,20,12,18,22,1300
순대국밥,700,600,75,3,18,25,1800
치킨,250,600,30,3,35,40,1200
돈코츠라멘,500,550,65,8,22,25,2200
곰탕,500,400,45,2,14,25,1500
해장국,500,370,45,3,12,22,1800
간장치킨,250,550,45,15,25,35,1200
반반치킨,250,600,40,12,35,35,1300
핫윙,200,500,15,5,35,35,1400
짜파게티,300,600,88,10,20,11,1300
오코노미야키,300,550,55,12,30,18,1100
떡,100,220,50,3,0.5,4,10
한과,50,220,40,20,6,2,30
슬러시,350,130,33,30,0,0,20
셔벗,100,130,32,28,0.2,0.5,15
불닭볶음면,230,530,87,6,16,11,1230
김치볶음밥,500,657,95,5,20,14,1095
감자탕,900,700,42,2,38,52,2439
공차,500,350,65,46,8,4,90
아사이볼,300,300,52,28,9,5,40
엽떡,350,520,105,20,6,12,1500
까르보불닭,230,550,82,8,18,13,1100
뚱카롱,70,300,40,32,14,4,40
트러플감자튀김,200,450,55,2,22,6,600
